Left Period,Left Arrival Rate,Right Period,Right Arrival Rate,Left Number of Cars,Left Average Waiting Time,Left Maximum Waiting Time,Left Time to Clear,Right Number of Cars,Right Average Waiting Time,Right Maximum Waiting Time,Right Time to Clear,
1,0.10,1,0.10,18,0.87,2,1,15,0.79,2,1,
1,0.10,1,0.20,18,0.87,2,1,38,1.03,2,1,
1,0.10,1,0.30,18,0.87,2,1,63,1.78,5,1,
1,0.10,1,0.40,18,0.87,2,1,89,4.18,8,1,
1,0.10,1,0.50,18,0.87,2,1,114,16.09,20,4,
1,0.10,1,0.60,18,0.87,2,1,138,53.42,84,80,
1,0.10,1,0.70,18,0.87,2,1,164,101.90,181,180,
1,0.10,1,0.80,18,0.87,2,1,189,151.40,278,277,
1,0.10,1,0.90,18,0.87,2,1,217,202.22,382,382,
1,0.20,1,0.10,39,1.12,3,1,15,0.79,2,1,
1,0.20,1,0.20,39,1.12,3,1,38,1.03,2,1,
1,0.20,1,0.30,39,1.12,3,1,63,1.78,5,1,
1,0.20,1,0.40,39,1.12,3,1,89,4.18,8,1,
1,0.20,1,0.50,39,1.12,3,1,114,16.09,20,4,
1,0.20,1,0.60,39,1.12,3,1,138,53.42,84,80,
1,0.20,1,0.70,39,1.12,3,1,164,101.90,181,180,
1,0.20,1,0.80,39,1.12,3,1,189,151.40,278,277,
1,0.20,1,0.90,39,1.12,3,1,217,202.22,382,382,
1,0.30,1,0.10,63,1.95,6,1,15,0.79,2,1,
1,0.30,1,0.20,63,1.95,6,1,38,1.03,2,1,
1,0.30,1,0.30,63,1.95,6,1,63,1.78,5,1,
1,0.30,1,0.40,63,1.95,6,1,89,4.18,8,1,
1,0.30,1,0.50,63,1.95,6,1,114,16.09,20,4,
1,0.30,1,0.60,63,1.95,6,1,138,53.42,84,80,
1,0.30,1,0.70,63,1.95,6,1,164,101.90,181,180,
1,0.30,1,0.80,63,1.95,6,1,189,151.40,278,277,
1,0.30,1,0.90,63,1.95,6,1,217,202.22,382,382,
1,0.40,1,0.10,87,3.97,7,1,15,0.79,2,1,
1,0.40,1,0.20,87,3.97,7,1,38,1.03,2,1,
1,0.40,1,0.30,87,3.97,7,1,63,1.78,5,1,
1,0.40,1,0.40,88,4.16,8,1,88,4.15,7,1,
1,0.40,1,0.50,88,4.16,8,1,111,16.42,18,2,
1,0.40,1,0.60,88,4.16,8,1,137,55.98,87,82,
1,0.40,1,0.70,88,4.16,8,1,163,102.31,180,178,
1,0.40,1,0.80,88,4.16,8,1,188,150.46,280,278,
1,0.40,1,0.90,88,4.16,8,1,217,200.68,378,378,
1,0.50,1,0.10,111,15.89,19,4,16,0.87,2,1,
1,0.50,1,0.20,111,15.89,19,4,38,1.17,4,1,
1,0.50,1,0.30,111,15.89,19,4,62,1.97,6,1,
1,0.50,1,0.40,111,15.89,19,4,88,4.15,7,1,
1,0.50,1,0.50,111,15.89,19,4,111,16.42,18,2,
